383498,209112
383498,10138
383498,155
383498,272
383498,49521
402900,1572
402900,75656
402900,949
402900,489931
402900,259316
466282,43923
466282,449176
466282,308369
466282,9880
466282,12689
462919,64255
462919,621
462919,224141
462919,429417
462919,2976
363088,141052
363088,49521
363088,297762
363088,209112
363088,99861
454983,449176
454983,49022
454983,84892
454983,101299
454983,9769
293660,141052
293660,1924
293660,1452
293660,8536
293660,9531
455207,8966
455207,9880
455207,84892
455207,449176
455207,454983
487558,1883
487558,389015
487558,769
487558,424
487558,324786
283995,299536
283995,1924
283995,1452
283995,8536
283995,9531
150540,812
150540,260513
150540,12092
150540,11360
150540,2300
269149,278927
269149,101299
269149,338970
269149,346364
269149,10315
194662,98566
194662,14
194662,155
194662,272
194662,49026
455980,460019
455980,380
455980,254470
455980,260514
455980,390043
474335,2300
474335,13260
474335,489593
474335,265330
474335,39185
177572,479
177572,281957
177572,2048
177572,73
177572,238636
354912,228326
354912,4011
354912,745
354912,254470
354912,6477
257344,251516
257344,333339
257344,620
257344,27205
257344,603
460668,2062
460668,694
460668,745
460668,453
460668,433
291805,467938
291805,281957
291805,260346
291805,241554
291805,357096
455656,19840
455656,10625
455656,272693
455656,37725
455656,2105
446894,8989
446894,487283
446894,413644
446894,353997
446894,14220
458423,224141
458423,11224
458423,354912
458423,194662
458423,812
399174,387592
399174,263109
399174,531
399174,533
399174,530
400155,7131
400155,277
400155,49017
400155,76492
400155,24021
207703,1726
207703,99861
207703,102899
207703,68721
207703,49521
449176,376867
449176,398818
449176,26280
449176,26933
449176,184352
420814,769
420814,424
420814,316029
420814,324786
420814,389015
98566,272
98566,1930
98566,68721
98566,263115
98566,297762
270946,10140
270946,128
270946,812
270946,808
270946,953
93456,49519
93456,20352
93456,207703
93456,116711
93456,73
608,607
608,601
608,395
608,840
608,679
437557,376660
437557,10735
437557,11631
437557,391713
437557,14
353486,333339
353486,131631
353486,258489
353486,314095
353486,70160
13053,9325
13053,927
13053,11886
13053,10948
13053,2698
14160,9479
14160,3933
14160,326359
14160,32085
14160,145316
20352,342473
20352,309809
20352,20497
20352,19101
585,62211
585,1124
585,339404
585,13374
585,275
340022,562
340022,1571
340022,1572
340022,27576
340022,2502
118,252
118,10830
118,9880
118,50619
118,12445
214756,250546
214756,10193
214756,72105
214756,11249
214756,11932
2062,6283
2062,308531
2062,10009
2062,10199
2062,212778
920,128
920,127380
920,364689
920,62211
920,11006
808,809
808,10882
808,10140
808,10020
808,224141
310,604
310,9946
310,311
310,145
310,6557
62177,10144
62177,109445
62177,10895
62177,10555
62177,10882
159824,76492
159824,129
159824,675
159824,767
159824,671
313369,2976
313369,525
313369,10947
313369,342473
313369,705
72105,862
72105,24420
72105,13523
72105,19913
72105,1024
425,49519
425,10567
425,387592
425,278154
425,17610
370567,1934
370567,91745
370567,10705
370567,10688
370567,247554
59861,52449
59861,14069
59861,9769
59861,13374
59861,400928
335797,260514
335797,9836
335797,258509
335797,9986
335797,9447
350,8966
350,9880
350,50619
350,84892
350,449176
271718,179144
271718,8363
271718,510
271718,195589
271718,10312
166426,1865
166426,22
166426,58
166426,285
166426,71805
254470,114150
254470,290762
254470,6477
254470,525
950,425
950,435
950,7840
950,387893
10193,862
10193,863
10193,72105
10193,62211
224141,10882
224141,150689
224141,321612
224141,809
9502,140300
9502,278927
9502,24
9502,604
9502,605
127380,12
127380,9479
127380,10555
127380,10315
18785,10029
18785,429733
18785,627
18785,45243
18785,12593
181533,1593
181533,863
181533,122
181533,8916
181533,12437
445571,275
445571,473149
445571,309809
445571,984
445571,270487
2976,6477
2976,409447
2976,630
2976,525
507562,81
507562,129
507562,128
507562,8392
507562,12429
387592,49519
387592,278154
387592,60308
387592,22881
82702,10191
82702,425
82702,111
82702,476926
82702,277216
194,49519
194,116711
194,1278
194,707
194,8195
9880,449176
9880,50479
9880,272693
9880,286565
9880,19840
339846,14372
339846,2756
339846,545957
339846,228165
339846,11836
218746,52449
218746,59861
218746,10830
218746,372058
218746,194
134374,111
134374,272
134374,339846
134374,9737
134374,238
225886,87567
225886,290762
225886,38
225886,11522
225886,11224
384677,769
384677,2291
384677,968
384677,10707
384677,11517
454992,691
454992,646
454992,954
454992,37724
454992,206647
77338,290762
77338,44564
77338,68718
77338,862
77338,13
11631,433
11631,10735
11631,109445
11631,393
400579,277216
400579,2758
400579,433
400579,111
400579,380
62764,290595
62764,58595
62764,672
62764,673
62764,674
4247,429733
